Namespace(graph=True, log=True, mnh=True, steps=10000)
Hidden layer number of features: 512
This fold's validation data contains examples from following classes: [ 3.  7.  3.  7.  5.  3.  3.  7.  4.  8.  4.  2.  6.  2.  8.]
Training: Step 1, Minibatch Loss= 4.7522, Training Accuracy= 26.000
Training: Step 3450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3450, Minibatch Loss= 0.7589, Training Accuracy= 80.000
Training: Step 3500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3500, Minibatch Loss= 0.7584, Training Accuracy= 80.000
Training: Step 3550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3550, Minibatch Loss= 0.7623, Training Accuracy= 80.000
Training: Step 3600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3600, Minibatch Loss= 0.7589, Training Accuracy= 80.000
Training: Step 3650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3650, Minibatch Loss= 0.7637, Training Accuracy= 80.000
Training: Step 3700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3700, Minibatch Loss= 0.7665, Training Accuracy= 80.000
Training: Step 3750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3750, Minibatch Loss= 0.7700, Training Accuracy= 80.000
Training: Step 3800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3800, Minibatch Loss= 0.7626, Training Accuracy= 80.000
Training: Step 3850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3850, Minibatch Loss= 0.7640, Training Accuracy= 80.000
Training: Step 3900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3900, Minibatch Loss= 0.7668, Training Accuracy= 80.000
Training: Step 3950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3950, Minibatch Loss= 0.7707, Training Accuracy= 80.000
Training: Step 4000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4000, Minibatch Loss= 0.7723, Training Accuracy= 80.000
Training: Step 4050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4050, Minibatch Loss= 0.7693, Training Accuracy= 80.000
Training: Step 4100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4100, Minibatch Loss= 0.7686, Training Accuracy= 80.000
Training: Step 4150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4150, Minibatch Loss= 0.7661, Training Accuracy= 80.000
Training: Step 4200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4200, Minibatch Loss= 0.7689, Training Accuracy= 80.000
Training: Step 4250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4250, Minibatch Loss= 0.7676, Training Accuracy= 80.000
Training: Step 4300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4300, Minibatch Loss= 0.7700, Training Accuracy= 80.000
Training: Step 4350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4350, Minibatch Loss= 0.7683, Training Accuracy= 80.000
Training: Step 4400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4400, Minibatch Loss= 0.7688, Training Accuracy= 80.000
Training: Step 4450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4450, Minibatch Loss= 0.7675, Training Accuracy= 80.000
Training: Step 4500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4500, Minibatch Loss= 0.7677, Training Accuracy= 80.000
Training: Step 4550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4550, Minibatch Loss= 0.7644, Training Accuracy= 80.000
Training: Step 4600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4600, Minibatch Loss= 0.7659, Training Accuracy= 80.000
Training: Step 4650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4650, Minibatch Loss= 0.7617, Training Accuracy= 80.000
Training: Step 4700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4700, Minibatch Loss= 0.7578, Training Accuracy= 80.000
Training: Step 4750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4750, Minibatch Loss= 0.7619, Training Accuracy= 80.000
Training: Step 4800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4800, Minibatch Loss= 0.7624, Training Accuracy= 80.000
Training: Step 4850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4850, Minibatch Loss= 0.7623, Training Accuracy= 80.000
Training: Step 4900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4900, Minibatch Loss= 0.7622, Training Accuracy= 80.000
Training: Step 4950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4950, Minibatch Loss= 0.7618, Training Accuracy= 80.000
Training: Step 5000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5000, Minibatch Loss= 0.7612, Training Accuracy= 80.000
Training: Step 5050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5050, Minibatch Loss= 0.7656, Training Accuracy= 80.000
Training: Step 5100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5100, Minibatch Loss= 0.7689, Training Accuracy= 80.000
Training: Step 5150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5150, Minibatch Loss= 0.7649, Training Accuracy= 80.000
Training: Step 5200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5200, Minibatch Loss= 0.7636, Training Accuracy= 80.000
Training: Step 5250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5250, Minibatch Loss= 0.7666, Training Accuracy= 80.000
Training: Step 5300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5300, Minibatch Loss= 0.7681, Training Accuracy= 80.000
Training: Step 5350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5350, Minibatch Loss= 0.7652, Training Accuracy= 80.000
Training: Step 5400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5400, Minibatch Loss= 0.7711, Training Accuracy= 80.000
Training: Step 5450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5450, Minibatch Loss= 0.7705, Training Accuracy= 80.000
Training: Step 5500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5500, Minibatch Loss= 0.7689, Training Accuracy= 80.000
Training: Step 5550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5550, Minibatch Loss= 0.7651, Training Accuracy= 80.000
Training: Step 5600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5600, Minibatch Loss= 0.7680, Training Accuracy= 80.000
Training: Step 5650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5650, Minibatch Loss= 0.7672, Training Accuracy= 80.000
Training: Step 5700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5700, Minibatch Loss= 0.7683, Training Accuracy= 80.000
Training: Step 5750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5750, Minibatch Loss= 0.7684, Training Accuracy= 80.000
Training: Step 5800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5800, Minibatch Loss= 0.7736, Training Accuracy= 80.000
Training: Step 5850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5850, Minibatch Loss= 0.7720, Training Accuracy= 80.000
Training: Step 5900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5900, Minibatch Loss= 0.7778, Training Accuracy= 80.000
Training: Step 5950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5950, Minibatch Loss= 0.7745, Training Accuracy= 80.000
Training: Step 6000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6000, Minibatch Loss= 0.7762, Training Accuracy= 80.000
Training: Step 6050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6050, Minibatch Loss= 0.7787, Training Accuracy= 80.000
Training: Step 6100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6100, Minibatch Loss= 0.7798, Training Accuracy= 80.000
Training: Step 6150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6150, Minibatch Loss= 0.7790, Training Accuracy= 80.000
Training: Step 6200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6200, Minibatch Loss= 0.7811, Training Accuracy= 80.000
Training: Step 6250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6250, Minibatch Loss= 0.7812, Training Accuracy= 80.000
Training: Step 6300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6300, Minibatch Loss= 0.7861, Training Accuracy= 80.000
Training: Step 6350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6350, Minibatch Loss= 0.7867, Training Accuracy= 80.000
Training: Step 6400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6400, Minibatch Loss= 0.7833, Training Accuracy= 80.000
Training: Step 6450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6450, Minibatch Loss= 0.7856, Training Accuracy= 80.000
Training: Step 6500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6500, Minibatch Loss= 0.7837, Training Accuracy= 80.000
Training: Step 6550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6550, Minibatch Loss= 0.7890, Training Accuracy= 80.000
Training: Step 6600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6600, Minibatch Loss= 0.7899, Training Accuracy= 80.000
Training: Step 6650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6650, Minibatch Loss= 0.7900, Training Accuracy= 80.000
Training: Step 6700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6700, Minibatch Loss= 0.7854, Training Accuracy= 80.000
Training: Step 6750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6750, Minibatch Loss= 0.7852, Training Accuracy= 80.000
Training: Step 6800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6800, Minibatch Loss= 0.7875, Training Accuracy= 80.000
Training: Step 6850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6850, Minibatch Loss= 0.7856, Training Accuracy= 80.000
Training: Step 6900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6900, Minibatch Loss= 0.7877, Training Accuracy= 80.000
Training: Step 6950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6950, Minibatch Loss= 0.7873, Training Accuracy= 80.000
Training: Step 7000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7000, Minibatch Loss= 0.7889, Training Accuracy= 80.000
Training: Step 7050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7050, Minibatch Loss= 0.7904, Training Accuracy= 80.000
Training: Step 7100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7100, Minibatch Loss= 0.7943, Training Accuracy= 80.000
Training: Step 7150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7150, Minibatch Loss= 0.7936, Training Accuracy= 80.000
Training: Step 7200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7200, Minibatch Loss= 0.7905, Training Accuracy= 80.000
Training: Step 7250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7250, Minibatch Loss= 0.7923, Training Accuracy= 80.000
Training: Step 7300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7300, Minibatch Loss= 0.7946, Training Accuracy= 80.000
Training: Step 7350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7350, Minibatch Loss= 0.7961, Training Accuracy= 80.000
Training: Step 7400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7400, Minibatch Loss= 0.7984, Training Accuracy= 80.000
Training: Step 7450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7450, Minibatch Loss= 0.8017, Training Accuracy= 80.000
Training: Step 7500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7500, Minibatch Loss= 0.7978, Training Accuracy= 80.000
Training: Step 7550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7550, Minibatch Loss= 0.7977, Training Accuracy= 80.000
Training: Step 7600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7600, Minibatch Loss= 0.7978, Training Accuracy= 80.000
Training: Step 7650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7650, Minibatch Loss= 0.7975, Training Accuracy= 80.000
Training: Step 7700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7700, Minibatch Loss= 0.7969, Training Accuracy= 80.000
Training: Step 7750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7750, Minibatch Loss= 0.7979, Training Accuracy= 80.000
Training: Step 7800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7800, Minibatch Loss= 0.8016, Training Accuracy= 80.000
Training: Step 7850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7850, Minibatch Loss= 0.8018, Training Accuracy= 80.000
Training: Step 7900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7900, Minibatch Loss= 0.8043, Training Accuracy= 80.000
Training: Step 7950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7950, Minibatch Loss= 0.7994, Training Accuracy= 80.000
Training: Step 8000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8000, Minibatch Loss= 0.8011, Training Accuracy= 80.000
Training: Step 8050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8050, Minibatch Loss= 0.8011, Training Accuracy= 80.000
Training: Step 8100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8100, Minibatch Loss= 0.8056, Training Accuracy= 80.000
Training: Step 8150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8150, Minibatch Loss= 0.8072, Training Accuracy= 80.000
Training: Step 8200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8200, Minibatch Loss= 0.8055, Training Accuracy= 80.000
Training: Step 8250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8250, Minibatch Loss= 0.8079, Training Accuracy= 80.000
Training: Step 8300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8300, Minibatch Loss= 0.8086, Training Accuracy= 80.000
Training: Step 8350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8350, Minibatch Loss= 0.8109, Training Accuracy= 80.000
Training: Step 8400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8400, Minibatch Loss= 0.8142, Training Accuracy= 80.000
Training: Step 8450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8450, Minibatch Loss= 0.8112, Training Accuracy= 80.000
Training: Step 8500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8500, Minibatch Loss= 0.8116, Training Accuracy= 80.000
Training: Step 8550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8550, Minibatch Loss= 0.8091, Training Accuracy= 80.000
Training: Step 8600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8600, Minibatch Loss= 0.8156, Training Accuracy= 80.000
Training: Step 8650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8650, Minibatch Loss= 0.8162, Training Accuracy= 80.000
Training: Step 8700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8700, Minibatch Loss= 0.8148, Training Accuracy= 80.000
Training: Step 8750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8750, Minibatch Loss= 0.8154, Training Accuracy= 80.000
Training: Step 8800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8800, Minibatch Loss= 0.8137, Training Accuracy= 80.000
Training: Step 8850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8850, Minibatch Loss= 0.8143, Training Accuracy= 80.000
Training: Step 8900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8900, Minibatch Loss= 0.8127, Training Accuracy= 80.000
Training: Step 8950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8950, Minibatch Loss= 0.8145, Training Accuracy= 80.000
Training: Step 9000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9000, Minibatch Loss= 0.8187, Training Accuracy= 80.000
Training: Step 9050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9050, Minibatch Loss= 0.8207, Training Accuracy= 80.000
Training: Step 9100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9100, Minibatch Loss= 0.8247, Training Accuracy= 80.000
Training: Step 9150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
